genus,species,genome,old_taxid,new_taxid,species_has_match,new_in_match,reclassified
Methylobacterium,aquaticum,GCF_001477085.1,270351,1775910,True,True,False
Methylobacterium,aquaticum,GCF_001476615.1,270351,1775910,True,True,False
Methylobacterium,aquaticum,GCF_001476215.1,270351,1775910,True,True,False
Methylobacterium,extorquens,GCF_000083545.1,661410,272630,True,True,False
Methylobacterium,platani,GCF_001043875.1,427683,1775910,True,True,False
Methylobacterium,platani,GCF_001043895.1,427683,1775910,True,True,False
Moraxella,catarrhalis,GCF_001064535.1,480,90239,True,True,False
Moraxella,catarrhalis,GCF_001064405.1,480,90239,True,True,False
Mycobacterium,abscessus,GCF_000523895.1,1299322,36809,True,False,True
Mycobacterium,intracellulare,GCF_000523595.1,1299329,1767,False,False,True
Myroides,marinus,GCF_000812825.1,76832,703342,True,False,True
Pandoraea,pnomenusa,GCF_000807785.1,93220,1891094,True,True,False
Pandoraea,pnomenusa,GCF_000807775.1,93220,1891094,True,True,False
Pectobacterium,carotovorum,GCF_000749915.1,555,2778550,False,False,False
Pectobacterium,carotovorum,GCF_000808255.1,555,180957,False,False,False
Pectobacterium,carotovorum,GCF_000808415.1,555,2778550,False,False,False
Pectobacterium,carotovorum,GCF_000808455.1,555,180957,False,False,False
Pectobacterium,carotovorum,GCF_000808355.1,555,180957,False,False,False
Pectobacterium,carotovorum,GCF_000808375.1,555,180957,False,False,False
Pectobacterium,wasabiae,GCF_000757625.1,55208,1905730,False,False,False
Proteus,mirabilis,GCF_001281565.1,585,584,True,False,True
Pseudoalteromonas,haloplanktis,GCF_000498015.1,1333512,1938597,False,False,False
Pseudoalteromonas,haloplanktis,GCF_000498075.1,1333511,1938595,False,False,False
Pseudoalteromonas,haloplanktis,GCF_000498035.1,1333514,1938598,False,False,False
Pseudomonas,fluorescens,GCF_001020785.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_001020655.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_000968025.1,294,298,True,True,False
Pseudomonas,fluorescens,GCF_000785395.1,1403315,1615674,True,True,False
Pseudomonas,fluorescens,GCF_001020635.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_001020815.1,294,380021,True,True,False
Pseudomonas,fluorescens,GCF_001020705.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_001020805.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_000465595.1,1390371,321846,True,True,False
Pseudomonas,fluorescens,GCF_000967935.1,294,298,True,True,False
Pseudomonas,fluorescens,GCF_000263675.1,1038924,1615674,True,True,False
Pseudomonas,fluorescens,GCF_001020765.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_001020795.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_001021695.1,294,380021,True,True,False
Pseudomonas,fluorescens,GCF_001020625.1,294,86185,True,True,False
Pseudomonas,fluorescens,GCF_000963495.1,1334632,321846,True,True,False
Pseudomonas,fluorescens,GCF_000934565.1,294,321846,True,True,False
Pseudomonas,fluorescens,GCF_000803005.1,294,1615674,True,True,False
Pseudomonas,fluorescens,GCF_001020645.1,294,86185,True,True,False
Pseudomonas,syringae,GCF_000344415.1,1104683,1674924,True,True,False
Pseudomonas,syringae,GCF_000935665.1,235272,264455,True,False,True
Rhizobium,etli,GCF_000698845.1,1432050,1301032,True,True,False
Salinispora,tropica,GCF_000425925.1,1298918,1169195,True,False,True
Salmonella,enterica,GCF_000806725.1,59201,179997,True,True,False
Salmonella,enterica,GCF_000807105.1,59201,260680,True,True,False
Salmonella,enterica,GCF_000806585.1,59201,58095,True,True,False
Salmonella,enterica,GCF_000806625.1,59201,58712,True,True,False
Salmonella,enterica,GCF_000806905.1,59201,58095,True,True,False
Salmonella,enterica,GCF_000968635.1,59202,41518,True,True,False
Salmonella,enterica,GCF_000806885.1,59201,58095,True,True,False
Salmonella,enterica,GCF_000806805.1,59201,595,True,True,False
Salmonella,enterica,GCF_000806765.1,59201,611,True,True,False
Salmonella,enterica,GCF_000974975.1,59201,340190,True,True,False
Salmonella,enterica,GCF_001541975.1,59201,143221,True,True,False
Salmonella,enterica,GCF_000806525.1,59201,1151171,True,True,False
Salmonella,enterica,GCF_000878855.1,59201,2077273,True,True,False
Salmonella,enterica,GCF_001006525.1,59201,90371,True,True,False
Salmonella,enterica,GCF_000806845.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000806665.1,59201,98360,True,True,False
Salmonella,enterica,GCF_000806745.1,59201,611,True,True,False
Salmonella,enterica,GCF_000806825.1,59201,595,True,True,False
Salmonella,enterica,GCF_000806565.1,59201,58095,True,True,False
Salmonella,enterica,GCF_000806545.1,59201,58095,True,True,False
Salmonella,enterica,GCF_000806925.1,59201,58712,True,True,False
Salmonella,enterica,GCF_001479245.1,1192839,1395122,True,True,False
