uid,refseq_acc,primary_taxid,species_taxid,use
883471,GCF_900114215.1,1520580,1520580,True
883481,GCF_900112895.1,1123323,40841,True
883491,GCF_900115225.1,655353,655353,True
883501,GCF_900114705.1,758825,758825,False
883511,GCF_900112555.1,146035,146035,True
883521,GCF_900113965.1,163,163,False
883611,GCF_900115155.1,995034,995034,True
883631,GCF_900113635.1,69895,69895,True
883641,GCF_900112105.1,1334022,1334022,True
883651,GCF_900115615.1,223786,223786,True
883671,GCF_900112045.1,237679,237679,True
883681,GCF_900112345.1,574651,574651,True
883691,GCF_900111875.1,871651,871651,True
883711,GCF_900113605.1,442341,442341,True
883721,GCF_900113525.1,414048,414048,True
883731,GCF_900114235.1,258723,258723,True
