accession,species_v11_idx1,species_v12_idx1
GCF_000157155.1,462,1016
GCF_000157175.1,462,1016
GCF_000157195.1,462,1016
GCF_000157215.1,457,1028
GCF_000157235.1,462,1016
GCF_000157255.1,464,1018
GCF_000157275.1,462,1016
GCF_000157295.1,457,1028
GCF_000157315.1,462,1016
GCF_000157335.1,462,1016
GCF_000157355.2,457,1028
GCF_000157375.1,462,1016
GCF_000157395.1,462,1016
GCF_000157415.1,462,1016
GCF_000157435.1,463,1017
GCF_000157455.1,462,1016
GCF_000157475.1,462,1016
GCF_000157495.1,462,1016
GCF_000157515.1,462,1016
GCF_000157535.1,463,1017
GCF_000157555.1,463,1017
GCF_000157575.1,463,1017
GCF_000157595.1,463,1017
GCF_000157615.1,463,1017
GCF_000157635.1,463,1017
GCF_000157655.1,463,1017
GCF_000157675.1,276,146
GCF_000157695.1,276,146
GCF_000157715.1,276,146
GCF_000157735.1,276,146
GCF_000157755.1,283,152
GCF_000157775.1,283,152
GCF_000157795.1,282,153
GCF_000157815.1,282,153
GCF_000157835.1,278,154
GCF_000157855.1,278,154
GCF_000157895.3,819,1300
GCF_000157915.1,164,256
GCF_000158015.1,209,1227
GCF_000158035.1,163,628
GCF_000158095.1,603,709
GCF_000158235.1,515,694
GCF_000158255.2,518,695
GCF_000158275.2,518,695
GCF_000158295.2,517,696
GCF_000158315.2,519,697
GCF_000158335.2,165,257
GCF_000158395.1,489,424
GCF_000158435.2,558,134
GCF_000158595.1,1020,876
GCF_000158615.1,442,397
